target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples
y_BTC-USD,0.017876433495290514,0.0032474393147071336,0.024036177943348856,0.0050918391817902685,-0.09955070470158513,0.11214988090758105,0.48266666666666663,0.06790189000805992,0.48266666666666663,0.06790189000805992,0.04273296385380682,0.10091847406408698,-0.002978605168102252,0.12059303102467535,25,1500
y_GLD,0.008905578600219182,0.00329956001276402,0.011834063459133728,0.005484617440038822,-0.0624501117691689,0.056252491348409574,0.5094850551731891,0.05645660461473472,0.5094850551731891,0.05645660461473472,-0.024979332267461626,0.11646892025193901,-0.01957322151517283,0.14763872379962809,25,823
y_TLT,0.005957625461037408,0.0011290773382934952,0.007353407610664545,0.0014285458866809418,-0.051779849458975534,0.09395688636228554,0.5424672029053368,0.06988656628049607,0.5424672029053368,0.06988656628049607,0.10171562389811857,0.1538661847816795,0.0997772820211116,0.14952926532188499,25,823
y_UUP,0.00348680539522506,0.0006429234313537308,0.004474095968959776,0.0009887230463297607,-0.07885096356202971,0.11699640819276207,0.5139594506191869,0.09954260704367379,0.5139594506191869,0.09954260704367379,0.03541421061683302,0.20122190476402135,0.014566422941188966,0.2410499829429548,25,823
y_XLB,0.00916596898857137,0.0024185841456706055,0.011851783191898337,0.004546190441107459,-0.17122122017719718,0.11160218595535332,0.39866695037283273,0.07521626105402479,0.39866695037283273,0.07521626105402479,-0.1624851228696115,0.17146436306668703,-0.1812660582812193,0.18408634651709557,25,823
y_XLC,0.007743029222559333,0.00305059090902396,0.010285687767728383,0.004902874773156761,-0.12382773171714433,0.13163673572507692,0.5531779060612732,0.08241239219604121,0.5531779060612732,0.08241239219604121,0.06922655165260883,0.15715621160220966,0.05562912048755489,0.1623079546837722,25,823
y_XLE,0.01109240632067615,0.003205657171367652,0.014748765586773814,0.0059985738676003155,-0.09684124284550627,0.11926992999920484,0.5069244536283076,0.08345977451504452,0.5069244536283076,0.08345977451504452,0.017679680632435545,0.168452374389023,0.04942936555050736,0.1808745239666287,25,823
y_XLF,0.008297540214468251,0.0022978704032786865,0.011493555281472514,0.004433661605426193,-0.11716538462893154,0.10770780385556555,0.469504277511884,0.08815158916807331,0.469504277511884,0.08815158916807331,0.014235305297806209,0.1071920240163951,-0.01491415037039928,0.1440987778980414,25,823
y_XLI,0.00819746436764354,0.0027390069497462335,0.010842138907939256,0.004784398173835989,-0.10959190304185584,0.08162488694235007,0.4473913378948876,0.07860182938910477,0.4473913378948876,0.07860182938910477,-0.07041655293262689,0.12167389422476424,-0.07461398311486817,0.1169173452161716,25,823
y_XLK,0.011500250246694039,0.004181050200730691,0.01547442894671482,0.006985583553350518,-0.08232553947085432,0.08857826054202492,0.46802535469928974,0.07270870146062706,0.46802535469928974,0.07270870146062706,-0.05407535717772492,0.20046246635238887,-0.05404256392591212,0.18517741151581382,25,823
y_XLP,0.006644234900734005,0.0016825994914574911,0.008243981510586272,0.0024364955567760978,-0.0947026088829198,0.0935929484234033,0.47922032941505555,0.09786650894019731,0.47922032941505555,0.09786650894019731,-0.003282259990238262,0.13134284550118497,-0.0030550794272574343,0.1576272550227468,25,823
y_XLRE,0.00762325614761547,0.0016836057147988383,0.01028954947568599,0.0027917854865873704,-0.12288936985611765,0.19872423830669397,0.5293094051745166,0.09136110558945795,0.5293094051745166,0.09136110558945795,0.04137121392610103,0.23084472331262212,0.07439722469374199,0.1989029984379006,25,823
y_XLU,0.007820791895072555,0.0011075673915683028,0.010175528415868402,0.0020762639971980486,-0.10503391672891466,0.11850533164017661,0.4988362714417481,0.10516145172880567,0.4988362714417481,0.10516145172880567,-0.005180699637249596,0.2032514074876696,-0.025163653154721657,0.2369843992273718,25,823
y_XLV,0.007937919948465304,0.0021634623131416256,0.010204622231255995,0.0030306630780636582,-0.11708256923978952,0.13028797470500067,0.41412355154342984,0.0930085937049608,0.41412355154342984,0.0930085937049608,-0.1046210717605812,0.23011719045629414,-0.136128767662727,0.21386809462149928,25,823
y_XLY,0.010577552889817604,0.0034539089263935377,0.013983753707530008,0.005396424486945417,-0.09591380890099059,0.09339741003109164,0.5001904800601555,0.09022104763438545,0.5001904800601555,0.09022104763438545,-0.021193978095189348,0.1565725897021537,0.003486797727610521,0.16523090927953657,25,823
AVG,0.00885512387293932,0.002420193580953067,0.011686102667037379,0.004025109371659175,-0.10194846166546538,0.11028555819579867,0.4875965795445173,0.08346379488851248,0.4875965795445173,0.08346379488851248,-0.008257254990198222,0.16340037159820794,-0.014296657946577649,0.17365913463171478,25,13022
