target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples
y_BTC-USD,0.025667618502287746,0.0059181152101950105,0.033497880644130035,0.008881021561088802,-1.08276339594131,0.21489414047435498,0.49333333333333335,0.047842333648024406,0.49333333333333335,0.047842333648024406,-0.03853226459678218,0.10919174311302617,-0.03659016393442624,0.09616208702231395,25,1500
y_GLD,0.011484975179227088,0.004892089322154294,0.015240822791987489,0.007062987375759129,-0.7773159839442428,0.333296127365956,0.31873618584470514,0.07578923380708313,0.31873618584470514,0.07578923380708313,-0.028089238087349068,0.1747711230161615,-0.05846323207618107,0.18447529384120342,25,823
y_TLT,0.007537249989773026,0.001496696640947702,0.009639110285079239,0.0022001250072678454,-0.7876883383772421,0.21908979276916918,0.34735340520178243,0.06280147976098545,0.34735340520178243,0.06280147976098545,-0.04389670939850804,0.13225019688549097,-0.048740035079971315,0.13918074860065416,25,823
y_UUP,0.004561293940420451,0.0011532559208381951,0.00588753364994233,0.0016112834853258661,-0.8387364317900498,0.36226201225338345,0.31636993087500187,0.05809099208032705,0.31636993087500187,0.05809099208032705,-0.05314542067263031,0.18955493032513565,-0.04843328547532779,0.16689920875048067,25,823
y_XLB,0.010971597851881705,0.0037235120535537717,0.015181579419496915,0.007523522985040018,-0.832334214667089,0.3390311051861776,0.3458560526557484,0.07684923015045957,0.3458560526557484,0.07684923015045957,-0.045939595540961796,0.20221435240351876,-0.04919899231370678,0.1842467016357762,25,823
y_XLC,0.00963972602080101,0.004347796557389261,0.01283009691325681,0.007624783068168046,-0.637999890350276,0.29495918501778806,0.38930643680085875,0.09256259714337425,0.38930643680085875,0.09256259714337425,0.03866939218218496,0.18330019485339222,-0.001583598051597337,0.21337803168023362,25,823
y_XLE,0.014011562990987698,0.003935475642944523,0.018627214548779403,0.007925884161745516,-0.7424365402727001,0.32674031442230583,0.3608439582465952,0.0673145323566614,0.3608439582465952,0.0673145323566614,0.006952444325859828,0.15217023806984223,0.013053715145499039,0.15850492368986382,25,823
y_XLF,0.010196093969940074,0.003322788197875507,0.01422545693125673,0.0061249023241405805,-0.6697428527473147,0.2828054435955848,0.3241467854409031,0.05427288859441045,0.3241467854409031,0.05427288859441045,0.0022456972346481504,0.169901488450924,-0.07427428468029743,0.16636366392621532,25,823
y_XLI,0.010192797415516729,0.0034140463824229765,0.013782614874852878,0.006692646460106227,-0.7610776804024983,0.3102619286858051,0.30464777000071114,0.07919306584957571,0.30464777000071114,0.07919306584957571,-0.03400848277006659,0.18945887425864807,-0.10544679848450605,0.2082629293902852,25,823
y_XLK,0.014893109112010092,0.0055883243916303805,0.02019147870418021,0.010809011718301913,-0.7607436091248363,0.337110195090063,0.34939162583330946,0.09901613651742022,0.34939162583330946,0.09901613651742022,-0.03795087043850132,0.1760038905033633,-0.05102651913910663,0.19170307959260366,25,823
y_XLP,0.008530457944780905,0.0025297935045041344,0.010664172047354203,0.003468884449369904,-0.8150869587104919,0.2506016610091389,0.2976059781364041,0.07329125005968053,0.2976059781364041,0.07329125005968053,-0.030445413605457505,0.13652625709092805,-0.0864190485244726,0.14230578290899465,25,823
y_XLRE,0.010349788749130498,0.0028904026540963706,0.013587386225579832,0.004751677700730716,-0.8850728521472585,0.2786028900557997,0.3057789906816276,0.07560094606109406,0.3057789906816276,0.07560094606109406,-0.06736992845226551,0.1682252042661318,-0.11791358156572698,0.17833027979019025,25,823
y_XLU,0.010181451934224435,0.002289306208271519,0.012904170841175804,0.003050210626600257,-0.7482788744842636,0.15673586758347358,0.3444115695540645,0.07601532327226028,0.3444115695540645,0.07601532327226028,-0.06202327212727982,0.1381451440862169,-0.06653480972985391,0.1501248683149061,25,823
y_XLV,0.009788744715618912,0.003002837202662591,0.012865142676352359,0.004536307369534002,-0.7386432675680067,0.2580862100462508,0.37942161793125284,0.08161893009384952,0.37942161793125284,0.08161893009384952,0.006215463883913122,0.16687271441023036,-0.02193381207034116,0.1811761404320806,25,823
y_XLY,0.014171441076051448,0.0051083429583044775,0.018868324146255035,0.008748557427397888,-0.9287488710091543,0.31874880570471453,0.28946604401219006,0.0966507842597909,0.28946604401219006,0.0966507842597909,-0.12290038698077893,0.19240068897129017,-0.12892843688526112,0.2414042456878996,25,823
AVG,0.011478527292843455,0.0035741855231860467,0.015199532313311953,0.006067453714705114,-0.8004446507691156,0.285548378617331,0.34444464563656585,0.07446064824366647,0.34444464563656585,0.07446064824366647,-0.034014572336265,0.16539913604695336,-0.05882885885768516,0.17350119901758007,25,13022
