target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples,model
y_BTC-USD,0.0168576838246136,0.003518932924336,0.0233706510692567,0.0055349542023361,-0.0211858721995577,0.027188962759016,0.0,0.0,0.0,0.0,,,,,25,1500,baseline_zero
y_GLD,0.008753446084152,0.0033096880425177,0.01168634575814,0.0054424704580064,-0.0347898801650237,0.0410881655102977,0.0,0.0,0.0,0.0,,,,,25,823,baseline_zero
y_TLT,0.0058719188473064,0.0011861043543133,0.0073000618233073,0.0015004781408185,-0.026196845543141,0.0243862364352715,0.0035314489432136,0.0095663447320482,0.0035314489432136,0.0095663447320482,,,,,25,823,baseline_zero
y_UUP,0.0034637155074104,0.0007881604384478,0.0044089311675435,0.0010735832268227,-0.0305865715467138,0.0318070466894591,0.0286517418079284,0.023860054508659,0.0286517418079284,0.023860054508659,,,,,25,823,baseline_zero
y_XLB,0.008523456754864,0.002480164668836,0.0112356316226326,0.0047225287998508,-0.0321558961702389,0.0461046152383644,0.0119449961802903,0.0269098036576554,0.0119449961802903,0.0269098036576554,,,,,25,823,baseline_zero
y_XLC,0.0075152540598355,0.00299813945913,0.009985373387897,0.0050611928974574,-0.0323515713832935,0.0389513012161139,0.0067335907335907,0.0182416248184081,0.0067335907335907,0.0182416248184081,,,,,25,823,baseline_zero
y_XLE,0.0107088680691301,0.0029051877328789,0.0142360083153374,0.0057449288894883,-0.0210662999932523,0.0335349553534626,0.011372264126828,0.0174979452244911,0.011372264126828,0.0174979452244911,,,,,25,823,baseline_zero
y_XLF,0.0078431695431715,0.0023457123898134,0.0111594716929655,0.0046605127064005,-0.0316062060929828,0.0325069581677393,0.010453781512605,0.0181342590779339,0.010453781512605,0.0181342590779339,,,,,25,823,baseline_zero
y_XLI,0.0077838293754463,0.0027802737914202,0.0105122593240069,0.004938924883302,-0.0238579798009555,0.0387691904122826,0.0,0.0,0.0,0.0,,,,,25,823,baseline_zero
y_XLK,0.011130983117573,0.0040700442054532,0.0151066318702666,0.0069305287279834,-0.0212870899636014,0.024002964828157,0.0,0.0,0.0,0.0,,,,,25,823,baseline_zero
y_XLP,0.0063763933274137,0.0016653655329879,0.0080375106277312,0.0024962615827965,-0.029927961732969,0.0516090348701581,0.0143265983509391,0.0191347707336485,0.0143265983509391,0.0191347707336485,,,,,25,823,baseline_zero
y_XLRE,0.0075138286461207,0.0019127425319374,0.0099546676191726,0.0030859084699358,-0.0188717648909842,0.0233079288677591,0.020133933570039,0.0198156279135268,0.020133933570039,0.0198156279135268,,,,,25,823,baseline_zero
y_XLU,0.0075873178309644,0.0014105855453112,0.0099258479017048,0.0023873932107944,-0.030085436904815,0.0299514726335359,0.0087321878594698,0.0140724331026764,0.0087321878594698,0.0140724331026764,,,,,25,823,baseline_zero
y_XLV,0.0075818372664086,0.0020586453574619,0.0098573370333621,0.0030180353139792,-0.0328937473163783,0.0335078092900275,0.0036007130124777,0.0097518630819987,0.0036007130124777,0.0097518630819987,,,,,25,823,baseline_zero
y_XLY,0.0102225275291166,0.0033577146391536,0.013606449757084,0.0053492890353465,-0.0291777115653659,0.0381679194967993,0.0,0.0,0.0,0.0,,,,,25,823,baseline_zero
y_BTC-USD,0.0256676185022877,0.005918115210195,0.03349788064413,0.0088810215610888,-1.08276339594131,0.2148941404743549,0.4933333333333333,0.0478423336480244,0.4933333333333333,0.0478423336480244,-0.0385322645967821,0.1091917431130261,-0.0365901639344262,0.0961620870223139,25,1500,baseline_last
y_GLD,0.011484975179227,0.0048920893221542,0.0152408227919874,0.0070629873757591,-0.7773159839442428,0.333296127365956,0.3187361858447051,0.0757892338070831,0.3187361858447051,0.0757892338070831,-0.028089238087349,0.1747711230161615,-0.058463232076181,0.1844752938412034,25,823,baseline_last
y_TLT,0.007537249989773,0.0014966966409477,0.0096391102850792,0.0022001250072678,-0.7876883383772421,0.2190897927691691,0.3473534052017824,0.0628014797609854,0.3473534052017824,0.0628014797609854,-0.043896709398508,0.1322501968854909,-0.0487400350799713,0.1391807486006541,25,823,baseline_last
y_UUP,0.0045612939404204,0.0011532559208381,0.0058875336499423,0.0016112834853258,-0.8387364317900498,0.3622620122533834,0.3163699308750018,0.058090992080327,0.3163699308750018,0.058090992080327,-0.0531454206726303,0.1895549303251356,-0.0484332854753277,0.1668992087504806,25,823,baseline_last
y_XLB,0.0109715978518817,0.0037235120535537,0.0151815794194969,0.00752352298504,-0.832334214667089,0.3390311051861776,0.3458560526557484,0.0768492301504595,0.3458560526557484,0.0768492301504595,-0.0459395955409617,0.2022143524035187,-0.0491989923137067,0.1842467016357762,25,823,baseline_last
y_XLC,0.009639726020801,0.0043477965573892,0.0128300969132568,0.007624783068168,-0.637999890350276,0.294959185017788,0.3893064368008587,0.0925625971433742,0.3893064368008587,0.0925625971433742,0.0386693921821849,0.1833001948533922,-0.0015835980515973,0.2133780316802336,25,823,baseline_last
y_XLE,0.0140115629909876,0.0039354756429445,0.0186272145487794,0.0079258841617455,-0.7424365402727001,0.3267403144223058,0.3608439582465952,0.0673145323566614,0.3608439582465952,0.0673145323566614,0.0069524443258598,0.1521702380698422,0.013053715145499,0.1585049236898638,25,823,baseline_last
y_XLF,0.01019609396994,0.0033227881978755,0.0142254569312567,0.0061249023241405,-0.6697428527473147,0.2828054435955848,0.3241467854409031,0.0542728885944104,0.3241467854409031,0.0542728885944104,0.0022456972346481,0.169901488450924,-0.0742742846802974,0.1663636639262153,25,823,baseline_last
y_XLI,0.0101927974155167,0.0034140463824229,0.0137826148748528,0.0066926464601062,-0.7610776804024983,0.3102619286858051,0.3046477700007111,0.0791930658495757,0.3046477700007111,0.0791930658495757,-0.0340084827700665,0.189458874258648,-0.105446798484506,0.2082629293902852,25,823,baseline_last
y_XLK,0.01489310911201,0.0055883243916303,0.0201914787041802,0.0108090117183019,-0.7607436091248363,0.337110195090063,0.3493916258333094,0.0990161365174202,0.3493916258333094,0.0990161365174202,-0.0379508704385013,0.1760038905033633,-0.0510265191391066,0.1917030795926036,25,823,baseline_last
