target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples
y_BTC-USD,0.018791378761157596,0.003823374340790519,0.025220347915369964,0.0058456708420555675,-0.19770164101757304,0.12873808876428097,0.4946666666666666,0.050490923276697304,0.4946666666666666,0.050490923276697304,-0.0005315288405612212,0.10692411201184054,-0.0026308077627985966,0.09894394178542101,25,1500
y_GLD,0.009072947238780969,0.003381664788362931,0.01198251432795479,0.0054930582060786735,-0.09563491767211378,0.0882930590653981,0.4363616795913956,0.06650957786467254,0.4363616795913956,0.06650957786467254,-0.03805599365450026,0.15288988830919054,-0.03810723946173724,0.16488432745044057,25,823
y_TLT,0.006363145339233223,0.0008368719328032203,0.007937408793353773,0.001054506528774587,-0.2724075301624052,0.2679514773755143,0.48328528466560916,0.06634719624463023,0.48328528466560916,0.06634719624463023,0.001613081640326675,0.13037173665929777,-0.01235280198050837,0.10391357814430058,25,823
y_UUP,0.003521103119875437,0.0007631462466079149,0.004601648937429006,0.0011335195532920044,-0.12873400305621202,0.09633414346916423,0.50561208606594,0.06544058763280175,0.50561208606594,0.06544058763280175,-0.05456057283819207,0.1600952278730329,-0.001037023545367154,0.14811849513201636,25,823
y_XLB,0.00906889818661354,0.002594606986245312,0.011873664390637579,0.0048275311386556195,-0.16876195473391423,0.15580423766052195,0.490097870340771,0.09705190553640661,0.490097870340771,0.09705190553640661,-0.013159043707974789,0.17123044291526596,-0.013800761161201045,0.17961944499229165,25,823
y_XLC,0.008083415966756453,0.0030572567065176807,0.010687931005215074,0.004921095633440135,-0.22450092960877036,0.16096968475436738,0.4754318295667181,0.06315894430295907,0.4754318295667181,0.06315894430295907,-0.03183342932136293,0.15447478028349737,-0.0027162280881832253,0.1631183053615467,25,823
y_XLE,0.011284191412817106,0.0028831295711807723,0.014791515051533482,0.005665185420444778,-0.11895357753476038,0.145061525362408,0.4764126842985869,0.08217787848241596,0.4764126842985869,0.08217787848241596,0.08088051889117256,0.1511514583506641,0.07854901421604392,0.17684740314240047,25,823
y_XLF,0.008290868195443585,0.002329699512904161,0.011754602231038072,0.004643128717258778,-0.16294850994797105,0.13296898880121308,0.4816213436243862,0.09789293443906465,0.4816213436243862,0.09789293443906465,-0.028694779018659418,0.16576769081195578,0.006726051777503663,0.15791221634791935,25,823
y_XLI,0.008257805439694083,0.0027733357165957368,0.011211384069585672,0.004868823743690662,-0.1975520151526982,0.19168451740882608,0.5077713642490519,0.09194606779809394,0.5077713642490519,0.09194606779809394,-0.05081578183442056,0.1564744504783042,0.0032408573292355357,0.15780833022381785,25,823
y_XLK,0.011734224765159132,0.004227274589738438,0.015724781220091993,0.00696139314516818,-0.1173716880457485,0.09785044932245565,0.4802654805367787,0.09693201553308275,0.4802654805367787,0.09693201553308275,-0.025478829512821592,0.18573790660182082,-0.031344496598194375,0.1790437169196164,25,823
y_XLP,0.006516767463756825,0.0016539139978594215,0.008132566040768575,0.002499960143009866,-0.058560701255328036,0.09964315009673763,0.47539926359804663,0.09205435517272371,0.47539926359804663,0.09205435517272371,0.031518767216980215,0.22412545084022933,0.012111434334335773,0.1946862091692496,25,823
y_XLRE,0.008065029403903669,0.0016674337848696116,0.01063777904044562,0.0028958895826321834,-0.20451839669340088,0.20669253994365297,0.4986380921700394,0.08738484283166807,0.4986380921700394,0.08738484283166807,0.05939127780369005,0.18134059732222577,0.08632803989773956,0.1775208295033638,25,823
y_XLU,0.007863488079595774,0.0013141609183575961,0.010279402216665236,0.002403038459732438,-0.11158149235801033,0.08956255283913804,0.525855758856773,0.07551123430777211,0.525855758856773,0.07551123430777211,-0.05142942781044713,0.1879791479593822,-0.007859075645289789,0.20249541352630004,25,823
y_XLV,0.007739007537004937,0.002174501611204747,0.0100859631057425,0.0030904881974913303,-0.08191416292290007,0.09682251645792346,0.49429440439886685,0.08577911598188932,0.49429440439886685,0.08577911598188932,0.02864896782770992,0.17009539425952536,0.0191412978101421,0.18403881326154395,25,823
y_XLY,0.010788697000792642,0.0034562983679233624,0.014230871610289424,0.005371154227753932,-0.1398859756255945,0.11646112576884708,0.457805091846674,0.08033153194832504,0.457805091846674,0.08033153194832504,0.006418583142384367,0.171189583882606,0.026316427984227078,0.1978255794516137,25,823
AVG,0.009029397860705664,0.002462444604797428,0.011943491997074718,0.0041116295692985826,-0.15206849971916003,0.13832253713936327,0.4855679266984202,0.0799339407568802,0.4855679266984202,0.0799339407568802,-0.005739212667778413,0.1646565245705892,0.008170979273729857,0.1657851069607895,25,13022
