model,avg_mae,avg_rmse,avg_r2,avg_directional_accuracy,avg_hit_rate,avg_pearson,avg_spearman,total_valid_samples
mlp,0.0228883344703869,0.0319625490335015,-13.452665375276624,0.4899658074264565,0.4899658074264565,-0.0027287502557656,-0.0061548304592528,13022
rf,0.0088551238729393,0.0116861026670373,-0.1019484616654653,0.4875965795445173,0.4875965795445173,-0.0082572549901982,-0.0142966579465776,13022
knn,0.0090293978607056,0.0119434919970747,-0.15206849971916,0.4855679266984202,0.4855679266984202,-0.0057392126677784,0.0081709792737298,13022
ridge,0.0248648945621813,0.0359232098265904,-14.2120861564722,0.4668571287377575,0.4668571287377575,-0.0517784618521798,-0.0750959857594981,13022
baseline_last,0.0114785272928434,0.0151995323133119,-0.8004446507691156,0.3444446456365658,0.3444446456365658,-0.034014572336265,-0.0588288588576851,13022
baseline_zero,0.0085156153189018,0.0113588785980272,-0.0277360556846182,0.0079654170731587,0.0079654170731587,,,13022
