target,fold_id,model,directional_accuracy
y_BTC-USD,20,baseline_zero,0.0
y_BTC-USD,21,rf,0.5833333333333334
y_BTC-USD,21,knn,0.5166666666666667
y_BTC-USD,21,ridge,0.5166666666666667
y_BTC-USD,21,mlp,0.5166666666666667
y_BTC-USD,21,baseline_last,0.4333333333333333
y_BTC-USD,21,baseline_zero,0.0
y_BTC-USD,22,knn,0.5833333333333334
y_BTC-USD,22,baseline_last,0.5166666666666667
y_BTC-USD,22,rf,0.5166666666666667
y_BTC-USD,22,ridge,0.45
y_BTC-USD,22,mlp,0.4
y_BTC-USD,22,baseline_zero,0.0
y_BTC-USD,23,rf,0.5666666666666667
y_BTC-USD,23,baseline_last,0.55
y_BTC-USD,23,knn,0.5166666666666667
y_BTC-USD,23,mlp,0.5
y_BTC-USD,23,ridge,0.4666666666666667
y_BTC-USD,23,baseline_zero,0.0
y_BTC-USD,24,baseline_last,0.5666666666666667
y_BTC-USD,24,mlp,0.5
y_BTC-USD,24,knn,0.4833333333333333
y_BTC-USD,24,ridge,0.45
y_BTC-USD,24,rf,0.45
y_BTC-USD,24,baseline_zero,0.0
y_GLD,0,mlp,0.5142857142857142
y_GLD,0,rf,0.4857142857142857
y_GLD,0,ridge,0.4571428571428571
y_GLD,0,knn,0.4285714285714285
y_GLD,0,baseline_last,0.3142857142857143
y_GLD,0,baseline_zero,0.0
y_GLD,1,rf,0.6285714285714286
y_GLD,1,ridge,0.4857142857142857
y_GLD,1,mlp,0.4571428571428571
y_GLD,1,knn,0.3714285714285714
y_GLD,1,baseline_last,0.3428571428571428
y_GLD,1,baseline_zero,0.0
y_GLD,2,rf,0.4864864864864865
y_GLD,2,mlp,0.4594594594594595
y_GLD,2,baseline_last,0.4324324324324324
y_GLD,2,knn,0.4054054054054054
y_GLD,2,ridge,0.3783783783783784
y_GLD,2,baseline_zero,0.0
y_GLD,3,baseline_last,0.4705882352941176
y_GLD,3,rf,0.4705882352941176
y_GLD,3,knn,0.4411764705882353
y_GLD,3,mlp,0.4411764705882353
y_GLD,3,ridge,0.3823529411764705
y_GLD,3,baseline_zero,0.0
y_GLD,4,knn,0.46875
y_GLD,4,rf,0.46875
y_GLD,4,mlp,0.46875
y_GLD,4,baseline_last,0.4375
y_GLD,4,ridge,0.4375
y_GLD,4,baseline_zero,0.0
y_GLD,5,rf,0.5714285714285714
y_GLD,5,ridge,0.5
y_GLD,5,baseline_last,0.4285714285714285
y_GLD,5,knn,0.4285714285714285
y_GLD,5,mlp,0.4285714285714285
y_GLD,5,baseline_zero,0.0
y_GLD,6,rf,0.5862068965517241
y_GLD,6,ridge,0.5517241379310345
y_GLD,6,knn,0.4827586206896552
y_GLD,6,baseline_last,0.3103448275862069
y_GLD,6,mlp,0.2758620689655172
y_GLD,6,baseline_zero,0.0
y_GLD,7,ridge,0.4666666666666667
y_GLD,7,knn,0.4333333333333333
y_GLD,7,rf,0.4333333333333333
y_GLD,7,mlp,0.4
y_GLD,7,baseline_last,0.2666666666666666
y_GLD,7,baseline_zero,0.0
y_GLD,8,mlp,0.5882352941176471
y_GLD,8,rf,0.5294117647058824
y_GLD,8,ridge,0.4117647058823529
y_GLD,8,knn,0.3823529411764705
y_GLD,8,baseline_last,0.3235294117647059
y_GLD,8,baseline_zero,0.0
y_GLD,9,mlp,0.6
y_GLD,9,rf,0.4857142857142857
y_GLD,9,baseline_last,0.4
y_GLD,9,ridge,0.4
y_GLD,9,knn,0.3428571428571428
y_GLD,9,baseline_zero,0.0
y_GLD,10,mlp,0.6285714285714286
y_GLD,10,ridge,0.4857142857142857
y_GLD,10,rf,0.4571428571428571
y_GLD,10,baseline_last,0.4285714285714285
y_GLD,10,knn,0.4285714285714285
y_GLD,10,baseline_zero,0.0
y_GLD,11,mlp,0.6857142857142857
y_GLD,11,ridge,0.6571428571428571
y_GLD,11,knn,0.4285714285714285
y_GLD,11,rf,0.4285714285714285
y_GLD,11,baseline_last,0.3142857142857143
y_GLD,11,baseline_zero,0.0
y_GLD,12,ridge,0.6176470588235294
y_GLD,12,rf,0.4705882352941176
y_GLD,12,knn,0.4411764705882353
y_GLD,12,mlp,0.3823529411764705
y_GLD,12,baseline_last,0.2941176470588235
y_GLD,12,baseline_zero,0.0
y_GLD,13,ridge,0.6
y_GLD,13,mlp,0.5428571428571428
y_GLD,13,knn,0.4857142857142857
y_GLD,13,rf,0.4857142857142857
y_GLD,13,baseline_last,0.2571428571428571
y_GLD,13,baseline_zero,0.0
y_GLD,14,rf,0.5588235294117647
y_GLD,14,mlp,0.5294117647058824
y_GLD,14,knn,0.4705882352941176
y_GLD,14,ridge,0.4411764705882353
y_GLD,14,baseline_last,0.2647058823529412
y_GLD,14,baseline_zero,0.0
y_GLD,15,rf,0.5588235294117647
y_GLD,15,knn,0.5294117647058824
y_GLD,15,mlp,0.5294117647058824
y_GLD,15,ridge,0.5
y_GLD,15,baseline_last,0.2352941176470588
y_GLD,15,baseline_zero,0.0
y_GLD,16,mlp,0.5454545454545454
y_GLD,16,knn,0.4848484848484848
y_GLD,16,rf,0.4848484848484848
y_GLD,16,ridge,0.3939393939393939
y_GLD,16,baseline_last,0.1818181818181818
y_GLD,16,baseline_zero,0.0
y_GLD,17,rf,0.5757575757575758
y_GLD,17,knn,0.5454545454545454
y_GLD,17,mlp,0.5151515151515151
y_GLD,17,ridge,0.4242424242424242
y_GLD,17,baseline_last,0.2121212121212121
y_GLD,17,baseline_zero,0.0
y_GLD,18,knn,0.6176470588235294
y_GLD,18,rf,0.5
y_GLD,18,mlp,0.4705882352941176
y_GLD,18,ridge,0.3823529411764705
y_GLD,18,baseline_last,0.2352941176470588
y_GLD,18,baseline_zero,0.0
y_GLD,19,mlp,0.6285714285714286
y_GLD,19,rf,0.4571428571428571
y_GLD,19,knn,0.4
y_GLD,19,ridge,0.3714285714285714
y_GLD,19,baseline_last,0.3142857142857143
y_GLD,19,baseline_zero,0.0
y_GLD,20,rf,0.5588235294117647
y_GLD,20,mlp,0.4705882352941176
y_GLD,20,knn,0.4117647058823529
y_GLD,20,ridge,0.4117647058823529
y_GLD,20,baseline_last,0.3529411764705882
y_GLD,20,baseline_zero,0.0
y_GLD,21,rf,0.4482758620689655
y_GLD,21,mlp,0.4482758620689655
y_GLD,21,knn,0.3448275862068966
y_GLD,21,baseline_last,0.3103448275862069
y_GLD,21,ridge,0.3103448275862069
y_GLD,21,baseline_zero,0.0
y_GLD,22,mlp,0.5185185185185185
y_GLD,22,rf,0.4444444444444444
y_GLD,22,knn,0.3703703703703703
y_GLD,22,ridge,0.3333333333333333
y_GLD,22,baseline_last,0.2962962962962963
y_GLD,22,baseline_zero,0.0
y_GLD,23,rf,0.5862068965517241
y_GLD,23,mlp,0.5172413793103449
y_GLD,23,ridge,0.4137931034482758
y_GLD,23,knn,0.3103448275862069
y_GLD,23,baseline_last,0.2413793103448276
y_GLD,23,baseline_zero,0.0
y_GLD,24,rf,0.5757575757575758
y_GLD,24,mlp,0.5454545454545454
y_GLD,24,knn,0.4545454545454545
y_GLD,24,ridge,0.4242424242424242
y_GLD,24,baseline_last,0.303030303030303
y_GLD,24,baseline_zero,0.0
y_TLT,0,rf,0.5714285714285714
y_TLT,0,knn,0.5142857142857142
y_TLT,0,baseline_last,0.4571428571428571
y_TLT,0,ridge,0.4571428571428571
y_TLT,0,mlp,0.2857142857142857
y_TLT,0,baseline_zero,0.0
y_TLT,1,rf,0.6
y_TLT,1,knn,0.5428571428571428
y_TLT,1,ridge,0.4857142857142857
y_TLT,1,mlp,0.4571428571428571
y_TLT,1,baseline_last,0.4285714285714285
y_TLT,1,baseline_zero,0.0
y_TLT,2,mlp,0.6756756756756757
y_TLT,2,rf,0.5405405405405406
y_TLT,2,knn,0.4054054054054054
y_TLT,2,baseline_last,0.3783783783783784
y_TLT,2,ridge,0.3783783783783784
y_TLT,2,baseline_zero,0.0
y_TLT,3,rf,0.5294117647058824
y_TLT,3,mlp,0.5
y_TLT,3,ridge,0.3823529411764705
y_TLT,3,baseline_last,0.2941176470588235
y_TLT,3,knn,0.2941176470588235
y_TLT,3,baseline_zero,0.0
y_TLT,4,rf,0.5
y_TLT,4,mlp,0.5
y_TLT,4,knn,0.4375
y_TLT,4,ridge,0.40625
y_TLT,4,baseline_last,0.34375
y_TLT,4,baseline_zero,0.0
y_TLT,5,rf,0.6428571428571429
y_TLT,5,mlp,0.5714285714285714
y_TLT,5,knn,0.5
y_TLT,5,baseline_last,0.3214285714285714
y_TLT,5,ridge,0.3214285714285714
y_TLT,5,baseline_zero,0.0
y_TLT,6,rf,0.5862068965517241
y_TLT,6,knn,0.5517241379310345
y_TLT,6,mlp,0.5517241379310345
y_TLT,6,ridge,0.4137931034482758
y_TLT,6,baseline_last,0.3448275862068966
y_TLT,6,baseline_zero,0.0
y_TLT,7,rf,0.5666666666666667
y_TLT,7,mlp,0.5666666666666667
y_TLT,7,ridge,0.5
y_TLT,7,knn,0.4666666666666667
y_TLT,7,baseline_last,0.3666666666666666
y_TLT,7,baseline_zero,0.0
y_TLT,8,mlp,0.6470588235294118
y_TLT,8,knn,0.5
y_TLT,8,ridge,0.5
y_TLT,8,rf,0.5
y_TLT,8,baseline_last,0.4411764705882353
y_TLT,8,baseline_zero,0.0
y_TLT,9,knn,0.5428571428571428
y_TLT,9,ridge,0.5142857142857142
y_TLT,9,mlp,0.5142857142857142
y_TLT,9,baseline_last,0.4
y_TLT,9,rf,0.3428571428571428
y_TLT,9,baseline_zero,0.0
y_TLT,10,rf,0.6
y_TLT,10,knn,0.5714285714285714
y_TLT,10,mlp,0.5714285714285714
y_TLT,10,baseline_last,0.4285714285714285
y_TLT,10,ridge,0.4285714285714285
y_TLT,10,baseline_zero,0.0
y_TLT,11,ridge,0.6857142857142857
y_TLT,11,rf,0.6571428571428571
y_TLT,11,knn,0.5428571428571428
y_TLT,11,mlp,0.4857142857142857
y_TLT,11,baseline_last,0.4
y_TLT,11,baseline_zero,0.0
y_TLT,12,mlp,0.7352941176470589
y_TLT,12,ridge,0.7058823529411765
y_TLT,12,rf,0.5588235294117647
y_TLT,12,knn,0.4705882352941176
y_TLT,12,baseline_last,0.4411764705882353
y_TLT,12,baseline_zero,0.0
y_TLT,13,rf,0.6571428571428571
y_TLT,13,ridge,0.6
y_TLT,13,knn,0.5428571428571428
y_TLT,13,mlp,0.5142857142857142
y_TLT,13,baseline_last,0.3142857142857143
y_TLT,13,baseline_zero,0.0
y_TLT,14,ridge,0.5294117647058824
y_TLT,14,knn,0.5
y_TLT,14,rf,0.5
y_TLT,14,mlp,0.4411764705882353
y_TLT,14,baseline_last,0.2647058823529412
y_TLT,14,baseline_zero,0.0
y_TLT,15,mlp,0.6470588235294118
y_TLT,15,knn,0.5588235294117647
y_TLT,15,ridge,0.5588235294117647
y_TLT,15,rf,0.5
y_TLT,15,baseline_last,0.2352941176470588
y_TLT,15,baseline_zero,0.0
y_TLT,16,rf,0.6060606060606061
y_TLT,16,knn,0.5454545454545454
y_TLT,16,ridge,0.5454545454545454
y_TLT,16,mlp,0.4545454545454545
y_TLT,16,baseline_last,0.3333333333333333
y_TLT,16,baseline_zero,0.0
y_TLT,17,knn,0.5151515151515151
y_TLT,17,rf,0.4242424242424242
y_TLT,17,ridge,0.3939393939393939
y_TLT,17,mlp,0.3333333333333333
y_TLT,17,baseline_last,0.303030303030303
y_TLT,17,baseline_zero,0.0303030303030303
y_TLT,18,rf,0.4705882352941176
y_TLT,18,mlp,0.4705882352941176
y_TLT,18,knn,0.4117647058823529
y_TLT,18,ridge,0.3823529411764705
y_TLT,18,baseline_last,0.2941176470588235
y_TLT,18,baseline_zero,0.0294117647058823
y_TLT,19,mlp,0.5428571428571428
y_TLT,19,rf,0.5142857142857142
y_TLT,19,knn,0.4
y_TLT,19,ridge,0.3428571428571428
y_TLT,19,baseline_last,0.2571428571428571
y_TLT,19,baseline_zero,0.0285714285714285
y_TLT,20,rf,0.5882352941176471
y_TLT,20,knn,0.5
y_TLT,20,mlp,0.4705882352941176
y_TLT,20,ridge,0.3823529411764705
y_TLT,20,baseline_last,0.3529411764705882
y_TLT,20,baseline_zero,0.0
y_TLT,21,mlp,0.5517241379310345
y_TLT,21,rf,0.5172413793103449
y_TLT,21,knn,0.4827586206896552
y_TLT,21,ridge,0.4482758620689655
y_TLT,21,baseline_last,0.3448275862068966
y_TLT,21,baseline_zero,0.0
y_TLT,22,rf,0.5555555555555556
y_TLT,22,knn,0.4814814814814814
y_TLT,22,ridge,0.4814814814814814
y_TLT,22,mlp,0.4814814814814814
y_TLT,22,baseline_last,0.3333333333333333
y_TLT,22,baseline_zero,0.0
