target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples
y_BTC-USD,0.026626081890144322,0.005163126975232851,0.036017260904271285,0.008823497702946678,-1.7947814289623887,1.9482040187192502,0.47533333333333333,0.06020705015933672,0.47533333333333333,0.06020705015933672,0.003399279744042506,0.1351534302091925,-0.018534037232564603,0.14878184401212918,25,1500
y_GLD,0.022846291578064826,0.0057898082293704545,0.03169741383720374,0.00953785476729299,-10.368479744679021,10.216935342026611,0.5036658754392019,0.08608754985123183,0.5036658754392019,0.08608754985123183,-0.011604189590222524,0.11905745797328778,-0.0028285812189857585,0.1473224410431816,25,823
y_TLT,0.021940267951446293,0.0061122493035682905,0.031734873235132154,0.012477193910176305,-21.94230367789891,18.030337286944835,0.5159486941961586,0.09723385362429178,0.5159486941961586,0.09723385362429178,0.03857895497680484,0.17878759631465205,0.0462502008145637,0.18561106738160554,25,823
y_UUP,0.020223979981405394,0.004976514057990736,0.028508356175408162,0.008776640018522542,-52.53386594870958,45.184132897608244,0.49503233883761266,0.08984039920826191,0.49503233883761266,0.08984039920826191,0.006370525142806494,0.15443398457886967,0.005531445983155758,0.1657627830908177,25,823
y_XLB,0.02180616136249605,0.005205608752316463,0.029501288246331855,0.008698666507828783,-8.820467064304896,7.529095855843291,0.47953573620510737,0.09854265485804416,0.47953573620510737,0.09854265485804416,0.03451292830208791,0.20377861526776378,0.026424459366741572,0.22423916789863932,25,823
y_XLC,0.022117026887242052,0.005296724857744595,0.030646159111820125,0.00818116939558976,-12.956970887886078,9.207016757187453,0.48649947262929005,0.08308278083635032,0.48649947262929005,0.08308278083635032,-0.042964931707630646,0.13782986762220784,-0.057017855191596196,0.13685454456237517,25,823
y_XLE,0.02398152105783646,0.005842524726308783,0.03219248871784468,0.008873184183985252,-5.533708275213096,3.8151545570079417,0.504334065895932,0.0773925321908134,0.504334065895932,0.0773925321908134,0.030495849893003947,0.11715167362880817,0.055943034711811966,0.13689314303234282,25,823
y_XLF,0.022232274842452392,0.006103393167032687,0.03055317416315466,0.009096782426062395,-8.698699461067884,6.602480705394329,0.48153473384609286,0.09117179039614003,0.48153473384609286,0.09117179039614003,0.02617909522789481,0.13532216098110594,0.013824991101187184,0.1482315777255953,25,823
y_XLI,0.022419175853334895,0.005658775285786465,0.031763883484045366,0.009848466730885977,-11.008762070409203,7.310579576192785,0.4807445560270104,0.06260782357128934,0.4807445560270104,0.06260782357128934,-0.02303448773649314,0.15168853437025773,-0.03529521142176931,0.17175366750553991,25,823
y_XLK,0.02496304552956125,0.008178372617926801,0.03371170306342666,0.013560973495370107,-5.774810025535796,6.111295423100106,0.464754308963741,0.08821204823221802,0.464754308963741,0.08821204823221802,-0.054699886455748616,0.17560146754960174,-0.07254303273346449,0.1831998901192714,25,823
y_XLP,0.02146937868708097,0.0069702127501386334,0.030088748329270883,0.01254053106032829,-17.66945494025865,21.356618621354627,0.49877686623426987,0.07298098897782514,0.49877686623426987,0.07298098897782514,-0.06537387470171885,0.14055071698463192,-0.055225698498319015,0.14144696849594968,25,823
y_XLRE,0.022051732578992483,0.00654346009437856,0.03215920001272901,0.011743089104267402,-11.105292906975887,8.275822764832988,0.5056437130144027,0.08362102109209663,0.5056437130144027,0.08362102109209663,0.034301572112237604,0.1366911802955004,0.04450227270090963,0.13710941902739987,25,823
y_XLU,0.02376357912336871,0.006227840543636336,0.034161296590924366,0.011124139949935686,-13.226838286791576,9.834482304879254,0.4934196454561567,0.08365773022690183,0.4934196454561567,0.08365773022690183,-0.007097485183702828,0.15707482156752134,-0.02861677814909476,0.1848837850012365,25,823
y_XLV,0.02246353244951405,0.004810228706663035,0.031783257049297534,0.008896014073836677,-13.288297323303057,12.295042341115822,0.47273022242494855,0.08114049597621883,0.47273022242494855,0.08114049597621883,-0.030726560265197253,0.14856062034695328,-0.028272099789597726,0.16297295127959951,25,823
y_XLY,0.02442096728286407,0.006123810880047398,0.03491913258166343,0.010520668436761428,-7.067248587153365,4.677250937539065,0.49153354889358947,0.0794824438253434,0.49153354889358947,0.0794824438253434,0.020731956405351373,0.15165032320923316,0.013534432668229427,0.18937039920158819,25,823
AVG,0.022888334470386944,0.005933510063209472,0.03196254903350159,0.010179924784252685,-13.452665375276625,11.49296329264977,0.4899658074264565,0.08235074420175756,0.4899658074264565,0.08235074420175756,-0.0027287502557656255,0.14955549672663915,-0.006154830459252841,0.16429557662515143,25,13022
