scope,model,target,strategy,cost_bps,best_by,best_threshold,metric_value,metric_at_threshold0
per_target,baseline_zero,y_BTC-USD,long_short,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_BTC-USD,long_short,1.0,sharpe,0.0,,
per_target,baseline_zero,y_GLD,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_GLD,long_flat,1.0,sharpe,0.0,,
per_target,baseline_zero,y_GLD,long_short,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_GLD,long_short,1.0,sharpe,0.0,,
per_target,baseline_zero,y_TLT,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_TLT,long_flat,1.0,sharpe,0.0,,
per_target,baseline_zero,y_TLT,long_short,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_TLT,long_short,1.0,sharpe,0.0,,
per_target,baseline_zero,y_UUP,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_UUP,long_flat,1.0,sharpe,0.0,,
per_target,baseline_zero,y_UUP,long_short,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_UUP,long_short,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLB,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLB,long_flat,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLB,long_short,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLB,long_short,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLC,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLC,long_flat,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLC,long_short,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLC,long_short,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLE,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLE,long_flat,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLE,long_short,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLE,long_short,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLF,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLF,long_flat,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLF,long_short,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLF,long_short,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLI,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLI,long_flat,1.0,sharpe,0.0,,
per_target,baseline_zero,y_XLI,long_short,1.0,cum_return,0.0,0.0,0.0
