model,directional_accuracy_mean,directional_accuracy_std_target,directional_accuracy_std_fold,excess_over_50
mlp,0.48996580742645646,0.01379963245083666,0.021711399406092992,-0.010034192573543543
rf,0.4875965795445173,0.04212071672506136,0.03072740188151983,-0.012403420455482705
knn,0.4855679266984202,0.020654379325366002,0.038184506581174026,-0.014432073301579806
ridge,0.4668571287377574,0.017195741161630095,0.028750325798750375,-0.03314287126224258
baseline_last,0.34444464563656585,0.048897255253687,0.03139402244886839,-0.15555535436343415
baseline_zero,0.007965417073158775,0.00819818053207588,0.004756264356678751,-0.4920345829268412
